Hip,Knee,Ankle,Body
169.66,173.97,151.03,172.66
169.51,173.98,150.29,172.61
169.71,173.13,155.31,173.16
169.65,172.25,156.7,173.48
170.66,172.27,154.86,174.46
170.56,171.55,150.93,174.8
169.85,171.51,149.17,174.1
169.19,171.97,148.6,173.19
170.32,172.77,152.61,173.97
171.48,173.52,152.0,174.76
171.59,173.61,148.88,174.7
172.41,174.71,150.01,174.95
172.37,175.45,151.28,174.57
172.52,175.7,154.52,174.62
171.77,175.95,157.95,173.76
170.73,174.41,158.54,173.49
171.4,173.63,154.21,174.58
171.12,171.95,149.4,175.07
170.36,171.89,148.8,174.28
170.39,171.92,149.48,174.26
170.39,172.86,153.55,173.95
170.5,174.05,156.0,173.58
170.49,174.38,154.13,173.27
170.25,174.27,152.34,173.05
170.43,174.84,154.23,172.93
169.65,175.09,157.84,172.04
169.06,175.5,159.11,171.26
168.95,175.4,158.47,171.22
168.22,174.12,162.31,171.04
168.3,173.89,163.09,171.24
168.1,173.25,163.53,171.29
168.38,173.72,166.37,171.38
168.9,174.39,167.46,171.72
170.53,174.79,165.95,173.11
170.65,174.23,160.48,173.47
170.68,174.1,157.66,173.52
171.27,174.56,157.04,173.9
171.35,174.88,156.21,173.88
170.57,175.27,159.96,172.91
169.37,173.5,161.25,172.6
169.65,173.23,159.65,172.92
169.71,172.08,153.3,173.52
168.35,172.09,153.07,172.13
167.6,172.12,154.47,171.36
167.41,172.33,159.55,171.2
167.06,171.76,161.17,171.27
167.58,171.74,159.88,171.72
168.24,171.26,158.74,172.56
168.97,171.46,157.96,173.23
168.75,171.35,157.9,173.01
169.13,172.04,158.26,173.07
169.45,172.55,160.12,173.05
169.43,172.36,160.41,173.12
170.4,171.79,157.31,174.39
170.25,171.26,154.23,174.46
169.7,171.2,154.19,173.82
170.35,170.27,156.72,174.98
170.72,168.38,158.38,176.28
173.04,169.7,160.51,177.94
173.2,170.2,157.74,177.84
173.27,169.47,150.85,178.29
172.45,169.51,148.05,177.35
171.22,169.43,146.72,176.13
169.73,170.02,144.83,174.38
169.07,170.52,142.34,173.53
167.75,169.51,138.33,172.69
166.49,168.74,139.1,171.81
166.26,167.91,134.26,172.12
167.87,167.18,134.26,174.07
168.64,166.0,133.55,175.41
167.79,164.62,133.6,175.2
167.6,161.12,133.68,176.62
163.08,151.54,133.35,176.9
155.66,139.54,133.39,175.5
150.22,132.38,133.99,174.01
148.39,131.04,133.52,173.64
147.22,131.1,131.11,172.98
147.56,132.44,131.92,173.05
150.13,136.89,128.87,174.11
154.72,145.55,127.82,173.64
158.51,156.74,128.05,170.75
161.04,166.4,126.93,168.08
161.79,170.74,132.21,166.52
161.63,170.58,130.72,166.46
161.39,169.79,127.27,166.64
160.49,169.52,130.02,165.86
160.11,169.74,130.76,165.37
160.3,170.24,130.97,165.23
160.2,171.73,141.38,164.27
159.59,174.12,150.97,162.46
159.49,175.92,156.5,161.46
159.15,174.53,155.2,161.76
157.55,171.79,153.48,161.45
157.44,171.21,153.46,161.6
159.87,172.57,154.7,163.39
161.0,173.43,155.52,164.12
162.62,174.64,157.17,165.17
163.02,175.06,160.81,165.37
163.81,175.41,162.1,165.99
164.72,176.02,163.04,166.61
164.52,175.66,162.55,166.57
165.0,175.96,162.13,166.9
166.91,176.56,162.38,168.52
167.8,176.0,162.12,169.66
168.34,175.71,162.1,170.34
168.17,176.0,164.27,170.03
167.91,176.06,165.06,169.76
167.1,173.39,159.0,170.21
165.37,169.78,152.41,170.17
164.39,165.57,144.83,171.15
164.29,163.01,143.96,172.28
164.13,162.04,142.73,172.6
164.17,161.44,142.12,172.92
163.87,161.81,143.81,172.58
165.54,161.49,142.06,174.36
165.82,161.31,141.04,174.71
164.82,159.92,137.16,174.25
165.48,160.55,134.89,174.57
168.47,164.11,140.99,175.98
170.54,168.36,147.05,176.33
172.34,171.25,151.58,176.8
173.61,173.52,152.45,176.91
173.34,172.75,149.19,176.92
173.07,172.57,138.42,176.67
172.36,172.67,137.5,175.97
171.37,174.2,142.34,174.18
170.87,174.99,144.5,173.27
170.72,175.58,158.4,172.86
169.89,174.19,154.9,172.65
168.08,170.38,154.27,172.62
169.16,169.83,150.59,173.95
168.85,170.7,153.22,173.21
169.42,171.41,156.38,173.49
170.73,172.89,163.78,174.23
172.22,174.69,163.42,174.8
173.32,174.61,151.96,175.79
172.98,173.99,138.06,175.74
172.62,173.71,137.98,175.56
172.41,178.15,160.07,173.28
171.57,178.63,170.99,172.21
169.23,176.88,168.99,170.76
168.51,177.21,168.94,169.9
167.72,172.41,159.87,171.34
167.67,169.73,156.36,172.54
166.67,171.51,160.0,170.72
166.69,172.69,161.98,170.14
166.95,173.59,166.75,170.06
167.2,173.99,169.22,170.1
167.52,174.15,164.24,170.34
167.56,174.07,162.84,170.37
167.6,174.18,165.56,170.34
167.6,174.4,172.28,170.25
167.59,174.84,178.75,170.06
167.63,174.74,178.14,170.22
166.77,174.36,177.24,169.53
168.56,173.37,175.64,171.78
168.14,173.6,175.36,171.2
168.03,173.85,175.11,170.9
168.25,174.57,175.96,170.97
168.29,174.51,174.51,170.96
168.18,176.04,168.69,170.07
167.19,176.83,161.62,168.69
166.9,177.44,161.36,168.11
166.87,177.42,162.14,168.1
166.16,174.22,155.92,168.93
166.22,172.34,158.34,169.98
166.42,170.49,152.49,170.97
166.68,169.26,151.92,171.74
166.61,168.86,150.6,171.89
167.1,169.79,154.24,171.99
170.58,171.77,154.56,174.64
171.38,172.69,156.37,174.99
171.4,172.38,153.88,175.09
171.07,171.66,148.44,175.06
170.65,172.16,144.75,174.39
170.17,175.01,154.87,172.54
168.86,178.24,168.85,169.7
167.38,178.91,170.81,167.91
166.12,179.09,168.65,166.57
167.52,179.14,168.12,167.93
166.15,176.6,165.3,167.77
165.51,176.84,168.8,167.04
166.3,178.09,170.24,167.25
168.07,178.6,174.02,168.78
169.27,178.84,173.63,169.86
170.7,178.35,171.34,171.5
170.91,178.05,169.54,171.85
170.79,178.13,169.74,171.69
170.71,179.19,172.86,171.11
170.37,178.76,176.71,170.96
170.83,178.84,178.15,171.39
171.24,178.27,178.23,172.07
171.24,177.22,172.14,172.58
170.69,176.89,172.01,172.19
170.77,176.58,171.7,172.42
170.93,176.92,172.39,172.44
171.42,176.74,171.51,173.02
171.32,176.2,165.56,173.13
171.48,176.46,162.65,173.15
171.39,176.5,161.77,173.06
171.42,176.7,161.02,173.0
170.99,177.01,163.96,172.46
170.26,176.21,162.58,172.16
169.3,174.07,160.84,172.19
169.84,173.23,156.96,173.13
169.49,173.75,158.96,172.49
169.03,174.14,160.49,172.03
170.03,174.23,164.79,172.97
171.57,174.25,165.61,174.47
173.29,173.82,164.35,176.25
175.13,173.3,160.18,178.32
176.5,173.52,155.18,179.59
176.74,174.35,155.96,179.51
176.78,174.69,158.37,179.39
176.55,173.48,157.25,179.78
176.47,170.95,151.74,179.3
176.38,169.72,149.2,178.86
173.73,167.86,148.61,179.36
172.67,168.22,150.2,178.39
171.62,170.28,155.56,176.64
171.84,171.91,156.35,176.06
172.12,172.24,154.91,176.05
172.54,172.89,154.47,176.06
172.34,173.41,153.21,175.61
172.82,173.71,158.97,175.92
172.09,173.26,164.84,175.48
172.33,172.56,162.78,175.98
171.84,171.58,160.58,175.86
171.27,170.5,160.54,175.7
170.73,170.98,159.06,175.03
