Hip,Knee,Ankle,Body
174.72,177.16,148.6,176.06
173.99,175.87,149.41,175.95
174.03,174.55,147.91,176.6
173.73,173.95,147.79,176.59
173.79,172.57,145.3,177.22
173.23,171.41,143.36,177.16
172.81,172.21,144.17,176.39
172.85,171.84,144.15,176.55
173.76,172.67,148.65,177.17
174.2,173.56,150.67,177.3
174.59,176.02,158.12,176.64
174.2,176.19,160.93,176.1
175.02,177.56,163.32,176.25
174.65,177.14,161.1,176.05
174.03,177.11,154.91,175.44
173.89,177.0,151.0,175.34
172.77,176.03,141.25,174.67
172.28,174.98,138.35,174.68
171.7,175.78,140.09,173.71
171.6,176.61,139.79,173.22
171.34,177.26,142.24,172.65
171.32,177.44,143.08,172.54
170.95,177.9,152.38,171.98
171.01,177.3,154.92,172.34
170.41,176.94,159.75,171.89
170.44,175.89,159.33,172.42
171.57,173.77,154.19,174.47
170.96,172.67,147.71,174.36
171.03,171.85,140.57,174.72
171.09,171.9,141.1,174.68
170.76,172.88,142.45,173.99
170.76,173.6,142.84,173.7
169.99,175.26,144.77,172.36
169.94,175.38,147.72,172.25
170.51,176.58,154.37,172.24
170.5,176.53,154.64,172.25
171.18,176.76,155.15,172.8
171.39,176.77,153.56,173.0
171.11,176.69,151.13,172.74
170.92,176.49,148.68,172.65
170.25,176.48,143.91,171.99
170.25,175.97,141.31,172.22
170.11,176.15,141.61,171.99
169.97,176.43,140.71,171.71
169.64,176.27,144.25,171.46
169.42,176.18,146.13,171.29
169.89,176.2,150.54,171.72
170.22,176.08,153.04,172.08
170.87,176.13,154.8,172.71
171.37,176.27,154.69,173.15
171.17,174.3,152.33,173.8
170.9,173.53,150.81,173.85
171.48,172.27,144.92,175.0
171.25,170.94,142.49,175.33
171.98,172.42,146.34,175.42
172.41,173.23,149.09,175.49
172.65,175.71,154.18,174.84
173.1,176.5,155.98,174.91
173.92,176.79,158.06,175.54
174.13,177.3,153.41,175.48
173.87,177.06,140.75,175.32
173.35,177.66,134.79,174.51
172.54,177.41,136.52,173.82
172.59,177.41,138.07,173.87
172.77,176.66,149.39,174.4
174.02,174.94,146.25,176.36
174.99,171.41,137.57,178.75
175.49,169.4,130.95,179.85
175.6,171.74,134.46,179.37
175.22,172.29,137.74,178.8
174.43,173.82,144.58,177.36
174.3,175.13,147.98,176.72
174.04,175.68,145.59,176.19
173.94,175.92,140.49,175.93
173.33,177.21,137.55,174.68
172.47,178.6,137.26,173.15
171.19,178.68,142.95,171.82
170.37,176.34,140.42,172.07
169.53,174.51,131.66,172.07
168.93,172.85,128.56,172.26
170.26,173.84,130.59,173.15
171.05,175.81,137.73,173.1
173.79,178.96,146.67,174.32
174.88,179.96,137.84,174.9
174.14,179.21,136.8,174.52
172.81,178.31,138.45,173.65
172.6,178.29,151.6,171.77
171.84,178.85,157.37,171.27
171.26,178.45,167.42,170.51
170.72,179.06,166.37,171.17
170.65,174.81,151.23,173.09
170.47,174.14,144.06,173.28
170.51,174.52,144.66,173.11
170.77,175.3,148.15,173.0
171.06,175.99,154.5,173.02
171.29,175.91,151.92,173.26
171.45,175.94,148.66,173.42
172.13,176.84,147.58,173.66
171.95,176.88,145.65,173.47
172.34,176.03,146.95,174.29
172.47,174.65,146.65,175.03
172.24,170.79,137.98,176.45
